Question Number,Question,Docs,Retrieved Files,Avg Similarity,Accuracy,Precision,Recall,F1
21,"In patients with coma after out-of-hospital cardiac arrest, did targeted hypothermia lead to a lower incidence of death by 6 months than targeted normothermia?","MPOHCAUSPITHRCA, CETHACA, THvsTN, SRRCTTHNPCAP, TTM, TTM2, ITMNCA, HNPCASR, VMOCA, TCAIHCA, HACA-LA","RIC, HACA-LA, TCAIHCA, TTM2, CETHACA, HACA, MPOHCAUSPITHRCA, THvsTN, HNPCASR",0.8919634222984314,0.9469026548672567,0.7777777777777778,0.6363636363636364,0.7000000000000001
22,"In unconscious survivors of out-of-hospital cardiac arrest of presumed cardiac cause, does hypothermia at a targeted temperature of 33°C provide any benefit compared with a targeted temperature of 36°C?","MPOHCAUSPITHRCA, CETHACA, THvsTN, SRRCTTHNPCAP, TTM, TTM2, ITMNCA, HNPCASR, VMOCA, TCAIHCA, HACA-LA","RIC, HACA-LA, TCAIHCA, TTM2, HACA, TTM, THvsTN, HNPCASR",0.882604267862108,0.9380530973451328,0.75,0.5454545454545454,0.631578947368421
23,"Following patients that have been fully resuscitated after cardiac arrest secondary to a ventricular fibrillation, did therapeutic mild hypothermia increase the rate of a favorable neurologic outcome and reduce mortality?","MPOHCAUSPITHRCA, ESDDVCIP, CETHACA, THvsTN, SRRCTTHNPCAP, HACA, ITMNCA, SOPA-III, HNPCASR, VMOCA, TCAIHCA, HACA-LA","RIC, HACA-LA, TCAIHCA, CETHACA, TTM2, HACA, MPOHCAUSPITHRCA, THvsTN, HNPCASR",0.8794692307710648,0.9385964912280702,0.7777777777777778,0.5833333333333334,0.6666666666666666
24,Does treatment with haloperidol lead to a significantly greater number of days alive and out of the hospital at 90 days than placebo when encountering patients in ICU with delirium?,"ATD, RUSGATICUD, MIND-USA, AUDDICU, AUPTICUPP, AMTD, DIICU, RAEATICU, SPICE-III, AID-ICU, RDSCI, DDMLSMVICP","DIICU, AID-ICU, RUSGATICUD, RAEATICU, AMTD",0.8652172088623047,0.9375,1.0,0.4166666666666667,0.5882352941176471
25,"Does the use of ziprasidone as compared with placebo in patients with acute respiratory failure, shock, hypoactive or hyperactive delirium in the ICU alter the duration of delirium?","ATD, RUSGATICUD, MIND-USA, AUDDICU, AUPTICUPP, AMTD, DIICU, RAEATICU, SPICE-III, AID-ICU, SEDCOM, RDSCI, DDMLSMVICP","DIICU, AID-ICU, RUSGATICUD, AMTD, RAEATICU",0.8157804757356644,0.9285714285714286,1.0,0.38461538461538464,0.5555555555555556
26,Is there more adverse events in ICU patients who recieved early dexmedetomidine?,"ETSDMV, ATD, HDDSICU, MIND-USA, AUDDICU, AUPTICUPP, EDvsLSMENDS, ESDDVCIP, RUSGATICUD, AMTD, DIICU, RAEATICU, SPICE-III, AID-ICU, SMDLTSWCI, RDSCI, DDMLSMVICP","SPICE-III, RDSCI, DDMLSMVICP, DIICU, ESDDVCIP, HDDSICU, ETSDMV",0.8458427323235406,0.9107142857142857,1.0,0.4117647058823529,0.5833333333333334
27,"Among patients undergoing mechanical ventilation in the ICU, does early dexmedetomidine for sedation result in a mortality rate similar to that of the usual-care group?","ETSDMV, ATD, HDDSICU, MIND-USA, AUDDICU, AUPTICUPP, EDvsLSMENDS, ESDDVCIP, RUSGATICUD, AMTD, DIICU, RAEATICU, SPICE-III, AID-ICU, SMDLTSWCI, SEDCOM, RDSCI, DDMLSMVICP","SPICE-III, RDSCI, ESDDVCIP, SEDCOM, EDvsLSMENDS, DDS, HDDSICU, ETSDMV",0.8924014700783623,0.8928571428571429,0.875,0.3888888888888889,0.5384615384615385
28,Was there a difference between dexmedetomidine and midazolam in time at targeted sedation level in mechanically ventilated ICU patients?,"ETSDMV, ATD, HDDSICU, MIND-USA, AUDDICU, AUPTICUPP, EDvsLSMENDS, ESDDVCIP, RUSGATICUD, AMTD, DIICU, RAEATICU, SPICE-III, SEDCOM, SMDLTSWCI, RDSCI, DDMLSMVICP","SPICE-III, RDSCI, DDMLSMVICP, ESDDVCIP, SEDCOM, EDvsLSMENDS, DDS, HDDSICU, ETSDMV",0.8923931874726948,0.9107142857142857,0.8888888888888888,0.47058823529411764,0.6153846153846153
29,Is bradycardia an adverse effect in critically ill patients receiving dexmedetomidine?,"ETSDMV, ATD, HDDSICU, RUSGATICUD, AUDDICU, AUPTICUPP, EDvsLSMENDS, ESDDVCIP, AMTD, DIICU, RAEATICU, SPICE-III, SEDCOM, SMDLTSWCI, RDSCI, DDMLSMVICP","SPICE-III, RDSCI, DDMLSMVICP, ESDDVCIP, SMDLTSWCI, SEDCOM, DDS, HDDSICU, ETSDMV",0.8407270908355713,0.9196428571428571,0.8888888888888888,0.5,0.64
30,"At comparable sedation levels, did dexmedetomidine-treated patients spend less time on the ventilator, experience less delirium, and develop less tachycardia and hypertension?","ETSDMV, ATD, HDDSICU, RUSGATICUD, AUDDICU, AUPTICUPP, EDvsLSMENDS, ESDDVCIP, AMTD, DIICU, RAEATICU, SPICE-III, SEDCOM, SMDLTSWCI, RDSCI, DDMLSMVICP","SPICE-III, RDSCI, ESDDVCIP, EDvsLSMENDS, DDS, HDDSICU, ETSDMV",0.8701358970842863,0.9017857142857143,0.8571428571428571,0.375,0.5217391304347825
31,Does routine use of corticosteroids for persistent ARDS over prolonged periods have increased survival rate? ,"ESDDVCIP, ESCPARDS","HARDST, ROSE, TOF-ARDS, ACURASYS, CCCARDS, BMIMSARDS, OSCILLATE, NBSARDS, CEIIUPPSARDS, PPATDSHMA, RARDS, EDPMARDSLPMV, APV, ESCPARDS, LSPA",0.8275387036172968,0.8660714285714286,0.06666666666666667,0.5,0.11764705882352941
32,Is there a decrease in mortality rate among patients with ARDS with an early exposure to conservative oxygenation strategy?,"ESDDVCIP, LCOTARDS","ROSE, TOF-ARDS, ACURASYS, BMIMSARDS, OSCILLATE, CEIIUPPSARDS, NBSARDS, RARDS, EDPMARDSLPMV, CHEST, ESCPARDS, PROSEVA",0.841920576597515,0.875,0.0,0.0,0.0
33,Is there a better neurologic outcome between targeted mild hypercapnia than targeted normocapnia in patients with a coma who were resuscitated following out of hospital cardiac arrest??,"ESDDVCIP, MHNOCA","THvsTN, CETHACA",0.8524070978164673,0.9642857142857143,0.0,0.0,0.0
34,Does targeting a mean arterial blood pressure of 63 or 77 mm Hg in patients resuscitated from cardiac arrest reduce mortality?,BTCSCA,"RIC, CAC, SEPSISPAM, OHCA, EXACT, MCAU, CETHACA, IHCA, BTCSCA, THvsTN",0.8436370272385446,0.9230769230769231,0.1,1.0,0.18181818181818182
35,"Does targeting a restrictive or liberal oxygenation strategy in comatose patients after resuscitation for cardiac arrest result in a similar incidence of death, severe disability, or coma?","OTCSCA, SPICE-III, HDDSICU, ESDDVCIP","RIC, CAC, HACA-LA, OHCA, EXACT, CETHACA, BTCSCA, THvsTN",0.8435112635294596,0.8956521739130435,0.0,0.0,0.0
36,Is there a difference in outcomes in patients who receive dexmedetomidine than propofol among mechanically ventilated adults with sepsis?,"ETSDMV, HDDSICU, MIND-USA, EDvsLSMENDS, ESDDVCIP, DPSMVAS, DIICU, RAEATICU, SPICE-III, SEDCOM, RDSCI, DDMLSMVICP","SPICE-III, RDSCI, DDMLSMVICP, ESDDVCIP, SMDLTSWCI, EDvsLSMENDS, DDS, ETSDMV",0.8505297601222992,0.9285714285714286,0.75,0.5,0.6
