Question number,Question,Retrieved FileName,Chunk Text,Page Number,Position,Similarity
3,"In patients with moderate to severe ARDS, does early use of continuous neuromuscular blockade improve mortality?",EDPMARDSLPMV.pdf," this result may be due to the wide range of VT used across the trials included. To try to answer this question, we investigated ΔPrs from two trials [4, 5] in which strict lung- protective mechanical ventilation, in particular 6 ml/kg predicted body weight VT, was applied to patients with ARDS. Our working hypothesis was that ΔPrs was asso- ciated with death, just like compliance (Crs) or Pplat,rs. Methods This is a",2,18,0.8288090229034424
3,"In patients with moderate to severe ARDS, does early use of continuous neuromuscular blockade improve mortality?",PPATDSHMA.pdf," every time the PROSEVA study is excluded from a meta-analysis the p values for both effect and heterogeneity increase strikingly, whereas when other trials are omitted, they remain low with small variations. As shown in Table 2, the interaction test, which formally investigates the heterogeneity of effects across subgroups, was always signiﬁcant when the PROSEVA trial was compared with the rest of the studies. Discussion Prone ventilation is considered to be standard care for severe ARDS, and",4,40,0.8282098770141602
3,"In patients with moderate to severe ARDS, does early use of continuous neuromuscular blockade improve mortality?",NBSARDS.pdf,"13 and ROSE trials,26 moderate to severe ARDS in the survey was de- fined as PaO2/FIO2  150 mm Hg, along with other Berlin criteria. The survey was approved by the University of Maryland School of Medicine Institutional Review Board. The survey writing team generated an initial 16-ques- tion survey that included 6 demographic questions, 3 ques- tions about whether the respondent managed patients with ARDS and whether they used NMB in their management",2,22,0.8269100189208984
4,Do patients with moderate-to-severe ARDS have a significance difference in mortality rate between patients who recieved an early and continuous cisatracurium infusion than those with usual care approach with lighter sedation targets?,TOF-ARDS.pdf,"Hraiech et al. Ann. Intensive Care  (2017) 7:79  DOI 10.1186/s13613-017-0305-2 RESEARCH How to reduce cisatracurium  consumption in ARDS patients: the TOF‑ARDS  study Sami Hraiech1,3*, Jean‑Marie Forel1, Christophe Guervilly1, Romain Rambaud1, Samuel ",1,1,0.8267707824707031
4,Do patients with moderate-to-severe ARDS have a significance difference in mortality rate between patients who recieved an early and continuous cisatracurium infusion than those with usual care approach with lighter sedation targets?,ROSE.pdf,"ade (ROSE) trial —  a multicenter, unblinded, randomized trial of  patients with moderate-to-severe ARDS — to  determine the efficacy and safety of early neuro- muscular blockade with concomitant heavy se- dation as compared with a strategy of usual  care with lighter sedation targets. We hypothe- sized that the use of early neuromuscular block- ade would result in lower all-cause in-hospital  mortality at 90 days",2,22,0.8246076107025146
4,Do patients with moderate-to-severe ARDS have a significance difference in mortality rate between patients who recieved an early and continuous cisatracurium infusion than those with usual care approach with lighter sedation targets?,NBSARDS.pdf," how NMB agents are used in patients with ARDS. A very high proportion (96.6%) of intensivists who treat patients with moderate to severe ARDS use NMB, and almost 40% of these respondents use NMB in more than half their patients with moderate to severe ARDS. These results are in line with other recent surveys. The LUNG SAFE study, a prospective study of 459 ICUs in 50 countries conducted in the winter of 2014, found that 37",5,59,0.8223733901977539
4,Do patients with moderate-to-severe ARDS have a significance difference in mortality rate between patients who recieved an early and continuous cisatracurium infusion than those with usual care approach with lighter sedation targets?,BMIMSARDS.pdf,"Body Mass Index and Mortality in Subjects With ARDS: Post-hoc Analysis of the OSCILLATE Trial Haytham Tlayjeh, Yaseen M Arabi, Niall D Ferguson, Qi Zhou, Francois Lamontagne, Alejandro Arroliga, Valerie Danesh, Guillermo Dominguez-Cherit, Edgar Jimenez, Adam Mullaly, Brandon Staub, and Maureen O Meade; for the Canadian Critical Care Trials Group BACK",1,1,0.8146486282348633
4,Do patients with moderate-to-severe ARDS have a significance difference in mortality rate between patients who recieved an early and continuous cisatracurium infusion than those with usual care approach with lighter sedation targets?,CEIIUPPSARDS.pdf,"entered automatically for patients identified by the electronic health record as being eligible  for PP, then hospitals who admitted few eligible patients should be willing to support it (29). Alternatively, an integrated health system that also insures its beneficiaries might consider  all costs, including additional downstream costs of survivors, making the results of our  societal model more relevant. Suppose such a system was willing to pay $50,000 per QALY  gained and admitted 200 patients with moderate-severe ARDS annually.",6,47,0.8037803173065186
4,Do patients with moderate-to-severe ARDS have a significance difference in mortality rate between patients who recieved an early and continuous cisatracurium infusion than those with usual care approach with lighter sedation targets?,ACURASYS.pdf," mechanical ventilation for the acute respiratory distress syn- drome (ARDS), neuromuscular blocking agents may improve oxygenation and de- crease ventilator-induced lung injury but may also cause muscle weakness. We evalu- ated clinical outcomes after 2 days of therapy with neuromuscular blocking agents in  patients with early, severe ARDS. Methods In this multicenter, double-blind trial, 340 patients presenting to the intensive care  unit (ICU) with an onset",1,11,0.8025448322296143
4,Do patients with moderate-to-severe ARDS have a significance difference in mortality rate between patients who recieved an early and continuous cisatracurium infusion than those with usual care approach with lighter sedation targets?,PPATDSHMA.pdf," every time the PROSEVA study is excluded from a meta-analysis the p values for both effect and heterogeneity increase strikingly, whereas when other trials are omitted, they remain low with small variations. As shown in Table 2, the interaction test, which formally investigates the heterogeneity of effects across subgroups, was always signiﬁcant when the PROSEVA trial was compared with the rest of the studies. Discussion Prone ventilation is considered to be standard care for severe ARDS, and",4,40,0.8012244701385498
4,Do patients with moderate-to-severe ARDS have a significance difference in mortality rate between patients who recieved an early and continuous cisatracurium infusion than those with usual care approach with lighter sedation targets?,NBSARDS.pdf,"13 and ROSE trials,26 moderate to severe ARDS in the survey was de- fined as PaO2/FIO2  150 mm Hg, along with other Berlin criteria. The survey was approved by the University of Maryland School of Medicine Institutional Review Board. The survey writing team generated an initial 16-ques- tion survey that included 6 demographic questions, 3 ques- tions about whether the respondent managed patients with ARDS and whether they used NMB in their management",2,22,0.8011879920959473
5,"Among patients with ALI/ARDS, does a conservative fluid management strategy improves lung function and decrease ventilator days compared to liberal strategy?",FMWSCPARDS.pdf," mortality to FACTT Conservative. FACTT Conservative has improved ventilator-free days,  ICU-free days, and prevalence of acute kidney injury than FACTT Liberal. FACTT Lite can  be used as a simplified and safe alternative to FACTT Conservative for the management of  fluid balance in patients with ARDS. Supplementary Material Refer to Web version on PubMed Central for supplementary material. Acknowledgments Supported, in part, by the National Institutes of Health, National",8,76,0.8423879146575928
5,"Among patients with ALI/ARDS, does a conservative fluid management strategy improves lung function and decrease ventilator days compared to liberal strategy?",PAC-in-FACTT.pdf," AP, Bernard GR, Thompson  BT, Hayden D, deBoisblanc B, Connors AF, Jr., Hite  RD,  Harabin  AL:  Comparison  of  two  fluid- management strategies in acute lung injury. N Engl J  Med 2006, 354:2564-2575.    10.  Lemaire F: Suspension of the NIH ARDS Network  fluids and catheters treatment trial. Intensive Care  Med",3,37,0.8107426166534424
5,"Among patients with ALI/ARDS, does a conservative fluid management strategy improves lung function and decrease ventilator days compared to liberal strategy?",RARDS.pdf," Comparison of two ﬂuid-management strategies in acute lung injury. N Engl J Med 2006;354:2564– 2575. 11 Steinberg KP, Hudson LD, Goodman RB, Hough CL, Lanken PN, Hyzy R, et al.; National Heart, Lung, and Blood Institute Acute Respiratory Distress Syndrome (ARDS) Clinical Trials Network. Efﬁcacy and safety of corticosteroids for persistent acute respiratory distress syndrome",4,57,0.8107426166534424
